"","STN014.300.pre.poly.3.LG","STN014.40.pre.poly.3.LG","STN014.460.pre.poly.3.LG","STN014.580.pre.poly.3.LG","STN014.700.pre.poly.3.LG","STN014.860.pre.poly.3.LG","STN056a.150.pre.poly.3.LG","STN056a.170.pre.poly.3.LG","STN056a.310.pre.poly.3.LG","STN056b.190.pre.poly.3.LG","STN056b.30.pre.poly.3.LG","STN056b.350.pre.poly.3.LG","STN056b.390.pre.poly.3.LG","STN056b.410.pre.poly.3.LG","STN056b.90.pre.poly.3.LG","STN068.190.pre.poly.3.LG","STN068.257.pre.poly.3.LG","STN068.30.pre.poly.3.LG","STN068.90.pre.poly.3.LG","STN078.100.pre.poly.3.LG","STN078.180.pre.poly.3.LG","STN078.20.pre.poly.3.LG","STN078.300.pre.poly.3.LG","STN078.440.pre.poly.3.LG","STN089.1271.pre.poly.3.LG","STN089.2.pre.poly.3.LG","STN089.200.pre.poly.3.LG","STN089.300.pre.poly.3.LG","STN089.500.pre.poly.3.LG","STN106.100.pre.poly.3.S","STN106.170.pre.poly.2.LG","STN106.20.pre.poly.3.S","STN106.318.pre.poly.2.LG","STN132.100.pre.poly.3.S","STN132.200.pre.poly.3.S","STN132.30.pre.poly.3.S","STN132.305.pre.poly.3.S","STN132.505.pre.poly.3.S","STN146.160.pre.poly.3.S","STN146.201.pre.poly.3.S","STN146.250.pre.poly.3.S","STN146.268.pre.poly.3.S","STN146.30.pre.poly.3.S","STN153.160.pre.poly.3.S","STN153.2.pre.poly.3.S","STN153.548.pre.poly.3.S","STN20.175.pre.poly.3.LG","STN20.25.pre.poly.3.LG","STN20.499.pre.poly.3.LG","STN22.150.pre.poly.3.LG","STN22.2.pre.poly.3.LG","STN22.250.pre.poly.3.LG","STN22.325.pre.poly.3.LG","STN22.465.pre.poly.3.LG","STN22.610.pre.poly.3.LG"
"Seq1",4030,77,7435,10882,4236,6380,17089,10616,14296,16243,347,8479,12175,14072,7105,516,13264,115,143,93,138,218,277,6164,14064,2367,33183,23664,16604,56,2346,56,1925,283,15607,1384,150,21085,113,229,681,994,95,1403,137,13271,1925,30,6636,15479,6653,26543,19604,16027,15371
"Seq3",656,1840,202,207,116,168,460,532,257,527,11194,778,470,424,571,17258,453,8832,3502,6854,2798,9356,4816,900,47,32,183,115,82,113,382,659,158,31,51,20,372,256,13018,11764,6170,5522,10505,1240,2044,924,892,168,240,28,1596,77,121,106,139
"Seq6",651,751,231,196,95,126,320,232,164,255,4722,332,229,244,311,1542,190,3213,1175,2741,1546,3800,3273,468,30,0,62,97,37,51,212,315,92,13,32,9,168,204,7966,6134,2845,2370,7069,1495,5476,642,1346,84,118,38,1059,39,31,27,33
"Seq7",51,3,56,59,41,45,102,65,86,66,6,69,49,55,66,778,87,6,0,4,2,3286,0,66,0,13,257,135,78,0,38,0,28,0,48,0,127,193,24,26,18,35,86,16,52,98,14,0,79,57,32,66,78,51,64
"Seq8",151,10,165,183,183,303,633,401,455,314,27,250,296,305,207,322,470,0,24,0,12,4244,44,203,265,79,701,475,226,9,97,5,128,31,60,15,646,932,21,36,77,130,9,29,10,446,96,0,360,108,97,217,331,270,369
"Seq16",141,6,0,0,0,0,0,0,0,0,0,0,0,8,60,0,0,0,0,0,11,0,0,83,91,0,72,110,97,5,0,0,0,0,0,8,123,15,0,0,76,130,0,0,0,0,25,0,0,512,0,0,0,0,0
"Seq17",2952,6267,892,770,322,655,2784,1720,326,2466,6658,891,741,677,2255,11607,824,2989,1158,3075,2759,4852,3443,599,210,85,419,294,155,209,539,1817,486,64,221,254,737,735,6752,4552,1861,2319,10763,3466,10793,1539,4061,183,539,345,1994,143,192,140,264
"Seq19",33,0,54,41,38,70,102,61,99,67,0,33,72,46,34,0,73,0,2,0,0,99,0,36,16,0,121,117,76,0,20,0,24,0,36,0,149,143,0,0,11,9,0,13,0,121,5,0,79,48,30,47,93,89,74
"Seq25",665,0,44,8,75,214,1517,1134,135,626,21,46,136,90,991,26,403,0,57,0,83,1819,470,47,0,0,151,89,73,16,336,0,627,30,327,0,1164,2149,32,727,785,1098,0,0,0,352,1129,0,66,23,139,0,28,12,0
"Seq33",300,443,1003,646,337,550,1257,592,692,503,722,487,631,449,511,533,919,105,110,447,156,56,128,650,277,136,850,426,485,37,258,109,263,37,570,61,1002,1917,91,209,285,492,86,379,784,465,275,0,986,263,197,341,677,585,674
"Seq34",19,0,26,25,30,0,40,39,0,36,0,27,0,36,0,0,55,0,0,0,0,114,0,0,21,7,71,65,27,0,14,0,9,0,22,0,21,90,0,0,0,12,0,0,0,37,11,0,24,22,11,23,37,39,0
"Seq40",0,0,58,75,100,456,48,15,15,14,0,11,12,10,0,0,10,0,0,0,0,0,0,4,0,0,31,19,9,0,0,0,5,0,0,0,40,14,0,0,0,0,0,0,0,15,0,0,87,19,28,14,74,185,175
"Seq43",63,0,34,65,119,257,280,16,19,18,76,20,9,43,42,35,113,25,16,29,12,17,35,40,267,93,92,178,102,0,20,4,32,6,4,8,78,27,278,250,189,228,1292,371,1378,209,28,0,102,312,90,82,47,57,55
"Seq52",21,0,18,26,33,28,82,43,31,28,9,23,29,28,23,0,53,0,0,0,0,244,13,17,0,11,56,46,34,0,18,0,17,0,21,0,88,62,0,0,26,18,0,10,0,34,14,0,31,19,9,21,26,33,31
"Seq55",124,0,24,18,0,20,83,44,29,64,0,22,24,29,37,10,67,2,0,0,4,470,10,27,23,6,102,56,24,0,31,0,20,0,22,0,54,143,0,0,7,21,0,0,0,52,38,0,25,24,40,22,22,22,37
"Seq58",160,0,695,563,214,293,701,329,607,222,0,231,323,250,231,3,553,0,9,0,10,0,12,461,304,30,759,524,399,6,75,0,75,9,308,26,485,611,4,33,101,190,0,30,0,752,39,0,346,215,66,313,574,433,545
"Seq62",132,14,29,65,75,243,440,172,70,51,68,44,13,30,42,519,217,22,15,19,13,1064,30,65,107,61,1242,206,98,6,19,5,33,6,41,7,141,135,91,133,46,73,407,189,1040,143,49,0,156,527,447,301,120,87,222
"Seq66",4,0,5,0,5,7,16,0,18,8,0,7,8,11,6,16,15,0,0,0,0,267,0,3,0,3,220,95,20,0,3,0,0,0,8,0,107,40,0,0,0,0,0,0,0,4,0,0,10,0,8,14,9,14,0
"Seq71",143,14,168,215,84,111,138,116,40,138,20,56,8,41,128,221,70,13,30,14,35,587,75,102,0,13,41,42,28,0,56,8,80,0,48,0,155,224,47,200,220,284,36,439,252,268,201,0,161,0,47,0,6,0,6
"Seq78",0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,21,0,0,9,27,0,5,0,14,0,2,9,0,0,6
"Seq81",70,0,117,114,112,164,301,158,179,92,18,74,130,72,94,5,237,0,13,4,17,0,22,112,149,95,341,135,168,0,68,0,104,8,233,7,607,850,55,67,109,145,189,207,866,461,83,0,138,79,347,72,123,72,126
"Seq91",473,5,438,464,808,1118,252,107,141,74,0,104,382,97,129,0,173,0,0,0,0,0,26,267,2922,21,65,280,127,0,110,0,175,11,474,6,582,1625,39,117,393,552,9,59,0,162,40,0,536,630,129,58,144,287,748
"Seq93",0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,24
"Seq94",581,0,980,852,941,970,1110,526,1057,394,10,493,600,456,310,0,1058,0,19,0,13,8,32,605,969,21,785,737,685,0,140,0,247,17,353,0,1111,2296,0,18,141,193,0,128,0,1544,133,0,705,366,126,669,1028,646,898
"Seq95",455,0,527,478,505,534,1068,579,946,299,0,445,475,460,368,0,935,0,7,0,0,26,10,478,667,60,1870,1148,911,7,143,0,187,20,654,0,1190,2861,0,13,89,99,0,73,0,1612,39,0,396,484,94,624,875,513,928
"Seq101",4,0,0,6,0,0,40,9,0,6,0,5,9,0,7,21,16,0,0,0,0,171,0,0,0,0,36,61,0,0,3,0,12,0,9,0,58,48,0,0,3,0,0,0,0,23,0,0,18,0,0,0,15,4,14
"Seq104",0,0,0,0,0,0,17,12,0,10,0,0,6,13,6,141,15,0,0,0,0,535,0,9,0,2,0,0,8,0,0,0,5,0,10,0,11,16,10,7,7,0,22,0,14,13,0,0,5,0,3,7,0,5,7
"Seq117",48,6,249,248,118,117,328,223,226,172,11,279,339,172,178,0,302,0,8,0,8,0,11,252,125,85,334,253,212,12,59,0,52,24,154,10,575,755,0,5,53,51,0,34,0,337,31,0,464,151,95,138,594,591,415
"Seq123",0,0,15,0,0,0,0,0,0,0,0,21,0,0,0,16,48,0,0,0,0,208,0,0,14,0,4,0,0,0,0,0,0,0,0,0,106,64,0,0,0,0,0,0,0,28,0,0,16,0,6,3,30,0,0
"Seq125",154,4,201,160,99,193,680,180,74,210,0,27,36,12,43,13,257,0,0,0,0,0,0,225,104,36,299,364,562,0,93,0,0,9,20,11,37,66,0,19,13,7,0,79,0,351,32,0,329,1054,537,467,682,324,721
"Seq142",0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,47,7,0,0,0,0,103,0,4,0,0,11,8,0,0,0,0,0,0,0,0,0,8,7,3,0,2,31,0,38,17,0,0,0,2,0,7,7,0,10
"Seq148",8,0,0,5,0,10,0,0,0,0,0,0,0,0,0,7,22,0,0,0,0,49,0,0,0,6,27,0,0,0,0,0,0,0,5,0,0,16,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,14,0
"Seq153",0,0,0,0,0,82,0,0,0,7,0,8,6,0,5,0,18,0,0,0,0,0,0,5,3,0,15,0,6,0,2,0,0,0,8,0,20,27,0,7,19,36,0,0,0,5,0,0,0,26,13,21,0,44,0
"Seq155",32,0,125,136,69,49,116,99,201,37,3,78,96,92,54,0,181,0,4,0,0,0,0,117,89,4,277,175,223,0,16,0,17,3,67,0,24,264,0,0,10,17,0,6,0,208,0,0,70,79,15,100,211,237,252
"Seq156",6,0,2,0,7,0,20,10,0,9,0,0,8,8,5,0,8,0,0,0,0,81,0,0,15,3,13,17,7,0,0,0,0,0,0,0,0,14,0,0,0,5,0,0,0,12,0,0,0,5,0,20,8,12,0
"Seq159",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Seq164",8,0,0,14,8,0,0,0,8,0,0,6,13,14,10,2,30,0,0,0,0,23,0,6,0,0,18,12,0,0,0,0,5,3,0,0,7,19,0,0,0,0,0,0,0,16,0,0,6,0,0,0,0,0,0
"Seq166",0,0,21,21,0,15,43,17,40,0,0,32,0,27,0,0,51,0,0,0,0,0,0,29,45,9,71,48,38,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,51,0,0,13,29,0,28,0,25,27
"Seq169",0,0,0,0,0,0,14,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,19,14,0,0,7,0,4,4,0,0,15,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,9,0,0
"Seq171",50,24,5,7,7,8,5,5,0,5,384,16,0,0,12,86,12,72,165,177,168,211,190,15,2,0,0,0,2,0,37,13,11,0,0,2,19,24,205,297,137,159,198,7,9,7,155,4,19,0,106,0,4,0,0
"Seq180",113,16,14,72,53,236,436,0,48,0,29,31,102,0,0,16,139,0,0,11,0,0,0,51,221,43,287,65,91,0,13,0,35,10,0,4,37,35,0,0,0,0,0,26,0,20,0,0,110,475,194,370,81,321,345
"Seq189",13,124,0,0,0,0,0,0,0,7,73,0,0,0,0,237,6,23,14,49,28,49,9,0,0,0,0,3,0,0,12,28,0,0,0,5,14,0,23,14,0,0,22,8,10,0,36,0,0,0,10,0,0,0,0
"Seq192",56,0,17,31,44,55,212,46,60,5,0,12,12,0,4,3,391,0,2,0,0,27,0,36,247,11,346,222,445,0,35,0,77,0,28,0,171,156,0,0,0,0,0,0,5,91,0,0,27,145,42,36,69,64,173
"Seq193",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,35,5,0,0,0,0,114,0,0,0,0,7,7,5,0,0,0,0,0,0,0,33,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"Seq197",0,0,2,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Seq199",6,0,0,0,0,0,0,0,10,7,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,32,16,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Seq205",17,0,40,62,55,74,93,46,53,23,0,31,45,37,30,0,70,0,0,0,0,0,0,44,107,0,60,38,64,0,0,0,19,0,36,0,46,78,62,123,133,229,0,9,0,95,0,0,59,47,28,51,63,73,76
"Seq210",0,0,0,0,0,0,7,4,0,2,0,0,3,0,5,0,3,0,0,0,0,18,0,0,2,0,9,11,0,0,4,0,0,0,6,0,0,28,0,0,0,4,0,0,0,4,0,0,2,0,0,3,0,4,0
"Seq228",113,0,15,24,21,29,109,62,48,49,0,20,33,25,63,4,55,0,9,4,14,7,31,35,24,6,90,57,28,0,23,0,24,5,117,8,182,220,9,16,10,24,23,23,76,120,51,0,50,27,33,17,22,15,15
"Seq234",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,18,0,0,0,0,0,0,0,0,0,0
"Seq235",117,0,48,68,21,44,207,104,110,65,0,71,123,57,85,0,131,0,0,0,0,3,0,80,29,14,439,213,110,3,89,0,134,9,287,6,350,1137,0,5,10,19,0,12,0,161,13,0,38,86,26,73,96,94,115
"Seq249",69,0,71,54,48,57,152,48,57,124,0,76,133,44,87,0,63,0,0,0,3,7,3,55,45,36,88,61,65,0,20,0,14,6,35,14,156,207,0,7,18,21,0,11,0,86,53,0,219,91,39,108,113,86,109
"Seq255",2,0,6,10,7,0,30,15,13,15,8,13,8,11,7,0,17,6,0,0,0,12,0,17,17,23,55,38,17,0,0,0,14,0,4,0,0,29,0,0,12,13,14,0,0,21,3,0,23,6,0,24,26,16,11
"Seq258",379,0,56,41,100,152,157,21,0,0,0,6,50,0,128,17,125,0,0,0,7,0,0,33,55,19,482,167,98,0,0,0,32,0,8,0,17,26,0,0,0,0,0,33,2,29,22,0,70,712,46,361,146,206,135
"Seq274",0,0,3,0,0,0,11,0,7,8,0,0,0,0,5,0,0,0,0,0,0,13,0,0,0,0,25,13,0,0,0,0,2,0,6,0,0,32,0,0,0,0,0,0,0,0,0,0,5,5,0,10,8,10,8
"Seq283",0,0,89,120,259,422,124,74,167,41,0,68,110,93,30,0,189,0,0,0,5,4,12,91,52,7,117,95,111,0,18,0,8,0,25,0,83,128,23,14,33,23,0,3,0,94,0,0,151,26,56,55,111,155,140
"Seq290",91,0,140,76,93,130,160,71,49,123,3,50,80,37,52,0,74,0,0,0,0,4,0,86,19,6,89,68,71,4,18,0,40,6,58,0,164,263,0,0,14,26,0,11,0,162,36,0,225,43,32,69,147,66,99
"Seq298",0,0,37,63,26,35,12,11,14,5,0,0,10,7,0,0,0,0,0,0,0,16,2,35,3,2,0,10,3,0,0,0,5,0,15,0,4,45,9,59,64,90,0,0,0,42,0,0,23,0,0,4,8,9,0
"Seq299",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Seq305",27,2,0,37,0,58,162,0,0,0,0,0,84,0,0,0,150,0,0,0,6,0,0,0,86,20,743,36,0,0,0,0,5,24,0,13,83,18,2,0,13,0,0,15,0,24,3,0,25,207,15,40,0,10,109
