Phylum,Order,Family,Genus,Species,
Proteobacteria,Oceanospirillales,Alcanivoracaceae1,Alcanivorax,Alcanivorax Genus,
Proteobacteria,Alteromonadales,Alteromonadaceae,Paraglaciecola,Paraglaciecola Genus,
Bdellovibrionota,Bacteriovoracales,Bacteriovoracaceae,uncultured,hydrothermal vent metagenome,
Proteobacteria,Cellvibrionales,Cellvibrionaceae,uncultured,gamma proteobacterium NEP2,
Proteobacteria,SAR11 clade,Clade I,Clade I Family,Clade I Family,
Proteobacteria,SAR11 clade,Clade I,Clade Ia,Clade Ia Genus,
Proteobacteria,SAR11 clade,Clade II,Clade II Family,Clade II Family,
Proteobacteria,Alteromonadales,Colwelliaceae,Colwellia,Colwellia Genus,
Proteobacteria,Alteromonadales,Colwelliaceae,Colwelliaceae Family,Colwelliaceae Family,
Bacteroidota,Flavobacteriales,Crocinitomicaceae,Crocinitomicaceae Family,Crocinitomicaceae Family,
Bacteroidota,Flavobacteriales,Crocinitomicaceae,Fluviicola,marine metagenome,
Bacteroidota,Flavobacteriales,Crocinitomicaceae,Salinirepens,uncultured bacterium,
Bacteroidota,Flavobacteriales,Crocinitomicaceae,Fluviicola,uncultured Bacteroidetes/Chlorobi group bacterium,
Bacteroidota,Flavobacteriales,Crocinitomicaceae,Crocinitomix,uncultured marine bacterium,
Bacteroidota,Flavobacteriales,Crocinitomicaceae,Salinirepens,uncultured marine bacterium,
Bacteroidota,Flavobacteriales,Cryomorphaceae,uncultured,uncultured Genus,
Bacteroidota,Flavobacteriales,Cryomorphaceae,Vicingus,Vicingus Genus,
Proteobacteria,Ectothiorhodospirales,Ectothiorhodospiraceae,uncultured,uncultured proteobacterium,
Bacteroidota,Flavobacteriales,Flavobacteriaceae,uncultured,Aquimarina versatilis,
Bacteroidota,Flavobacteriales,Flavobacteriaceae,uncultured,Flavobacteriaceae bacterium 14III/A01/012,
Bacteroidota,Flavobacteriales,Flavobacteriaceae,Flavobacteriaceae Family,Flavobacteriaceae Family,
Bacteroidota,Flavobacteriales,Flavobacteriaceae,Polaribacter,Polaribacter Genus,
Bacteroidota,Flavobacteriales,Flavobacteriaceae,Ulvibacter,uncultured bacterium ARCTIC16_F_12,
Bacteroidota,Flavobacteriales,Flavobacteriaceae,uncultured,uncultured Genus,
Planctomycetota,Planctomycetales,Gimesiaceae,uncultured,uncultured Planctomyces clone 7F15,
Proteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,Halomonas Genus,
Actinobacteriota,Microtrichales,Ilumatobacteraceae,Ilumatobacteraceae Family,Ilumatobacteraceae Family,
Bacteroidota,Sphingobacteriales,Lentimicrobiaceae,uncultured deep-sea archaeon,uncultured deep-sea archaeon Genus,
Proteobacteria,Alteromonadales,Marinobacteraceae,Marinobacter,Marinobacter Genus,
Proteobacteria,Nitrosococcales,Methylophagaceae,Methylophagaceae Family,Methylophagaceae Family,
Proteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter Genus,
Proteobacteria,Alteromonadales,Moritellaceae,Moritella,Moritella Genus,
Bacteroidota,Flavobacteriales,NS9 marine group,NS9 marine group Family,NS9 marine group Family,
Bacteroidota,Flavobacteriales,NS9 marine group,seawater metagenome,seawater metagenome Genus,
Bacteroidota,Flavobacteriales,NS9 marine group,uncultured Flavobacterium sp.,uncultured Flavobacterium sp. Genus,
Proteobacteria,Oceanospirillales,Nitrincolaceae,uncultured,marine metagenome,
Proteobacteria,Oceanospirillales,Nitrincolaceae,Profundimonas,Profundimonas Genus,
Proteobacteria,Oceanospirillales,Nitrincolaceae,uncultured,seawater metagenome,
Crenarchaeota,Nitrosopumilales,Nitrosopumilaceae,Candidatus Nitrosopumilus,Candidatus Nitrosopumilus Genus,
Crenarchaeota,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilaceae Family,Nitrosopumilaceae Family,
Crenarchaeota,Nitrosopumilales,Nitrosopumilaceae,Candidatus Nitrosopumilus,Thaumarchaeota archaeon SCGC AAA282-K18,
Crenarchaeota,Nitrosopumilales,Nitrosopumilaceae,uncultured crenarchaeote ODPB-A3,uncultured crenarchaeote ODPB-A3 Genus,
Crenarchaeota,Nitrosopumilales,Nitrosopumilaceae,uncultured euryarchaeote,uncultured euryarchaeote Genus,
Crenarchaeota,Nitrosopumilales,Nitrosopumilaceae,uncultured marine crenarchaeote SAT1000-49-D2,uncultured marine crenarchaeote SAT1000-49-D2 Genus,
Crenarchaeota,Nitrosopumilales,Nitrosopumilaceae,uncultured marine thaumarchaeote KM3_69_H10,uncultured marine thaumarchaeote KM3_69_H10 Genus,
Planctomycetota,Phycisphaerales,Phycisphaeraceae,JL-ETNP-F27,uncultured deep-sea bacterium,
Planctomycetota,Pirellulales,Pirellulaceae,Rhodopirellula,hydrothermal vent metagenome,
Proteobacteria,Cellvibrionales,Porticoccaceae,SAR92 clade,SAR92 clade Genus,
Proteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonadaceae Family,Pseudoalteromonadaceae Family,
Proteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas Genus,
Proteobacteria,Oceanospirillales,Pseudohongiellaceae,Pseudohongiella,marine gamma proteobacterium HTCC2188,
Proteobacteria,Oceanospirillales,Pseudohongiellaceae,Pseudohongiella,Pseudohongiella Genus,
Proteobacteria,Oceanospirillales,Pseudohongiellaceae,Pseudohongiella,seawater metagenome,
Proteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas Genus,
Proteobacteria,Rhizobiales,Rhizobiaceae,Hoeflea,Hoeflea Genus,
Proteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacteraceae Family,Rhodobacteraceae Family,
Proteobacteria,Rhodobacterales,Rhodobacteraceae,Sulfitobacter,Sulfitobacter Genus,
Verrucomicrobiota,Verrucomicrobiales,Rubritaleaceae,Roseibacillus,Roseibacillus Genus,
Verrucomicrobiota,Verrucomicrobiales,Rubritaleaceae,Luteolibacter,uncultured organism,
Verrucomicrobiota,Verrucomicrobiales,Rubritaleaceae,Roseibacillus,uncultured Roseibacillus sp.,
Proteobacteria,Oceanospirillales,Saccharospirillaceae,Oleispira,Oleispira Genus,
Proteobacteria,Oceanospirillales,Saccharospirillaceae,Saccharospirillaceae Family,Saccharospirillaceae Family,
Proteobacteria,Oceanospirillales,Saccharospirillaceae,uncultured,uncultured Oceanospirillales bacterium,
Bacteroidota,Chitinophagales,Saprospiraceae,Lewinella,Lewinella Genus,
Bacteroidota,Chitinophagales,Saprospiraceae,Aureispira,Saprospira sp. CNJ640,
Bacteroidota,Chitinophagales,Saprospiraceae,Saprospiraceae Family,Saprospiraceae Family,
Bacteroidota,Chitinophagales,Saprospiraceae,Aureispira,uncultured marine bacterium,
Bacteroidota,Chitinophagales,Saprospiraceae,Lewinella,uncultured marine bacterium,
Proteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonadaceae Family,Sphingomonadaceae Family,
Proteobacteria,Thiomicrospirales,Thioglobaceae,SUP05 cluster,SUP05 cluster Genus,
Proteobacteria,Thiomicrospirales,Thioglobaceae,Thioglobaceae Family,Thioglobaceae Family,
Proteobacteria,Vibrionales,Vibrionaceae,Vibrionaceae Family,Vibrionaceae Family,
Thermoplasmatota,Marine Group II,hydrothermal vent metagenome,hydrothermal vent metagenome Family,hydrothermal vent metagenome Family,
Proteobacteria,SAR86 clade,hydrothermal vent metagenome,hydrothermal vent metagenome Family,hydrothermal vent metagenome Family,
Proteobacteria,HOC36,uncultured bacterium HF0770_27E13,uncultured bacterium HF0770_27E13 Family,uncultured bacterium HF0770_27E13 Family,
Thermoplasmatota,Marine Group II,uncultured marine group II euryarchaeote DeepAnt-JyKC7,uncultured marine group II euryarchaeote DeepAnt-JyKC7 Family,uncultured marine group II euryarchaeote DeepAnt-JyKC7 Family,
Patescibacteria,Candidatus Kaiserbacteria,uncultured prokaryote,uncultured prokaryote Family,uncultured prokaryote Family,