,Station,Latitude,Longitude,Depth
Inflow,STN014,-74.23,-112.08,860
,STN014,-74.23,-112.08,700
,STN014,-74.23,-112.08,580
,STN20,-74.15,-111.9,499
,STN20,-74.15,-111.9,480
Outflow,STN22,-74.1753,-113.34488,465
,STN22,-74.1753,-113.34488,325
,STN22,-74.1753,-113.34488,250
,STN22,-74.1753,-113.34488,150
,STN056a,-74.18,-113.34,310
,STN056a,-74.18,-113.34,170
,STN056a,-74.18,-113.34,150
,STN056b,-74.18,-113.34,410
,STN056b,-74.18,-113.34,390
,STN056b,-74.18,-113.34,350
,STN056b,-74.18,-113.34,190
,STN068,-74.02906,-113.34464,257
,STN068,-74.02906,-113.34464,190
,STN068,-74.02906,-113.34464,90