Station,Date,Latitude,Longitude,Salinity,Temperature,Depth,Lab_NO3,Lab_PO4,Lab_NO2,Lab_NH4,Sb_Oxygen,DOC,Iron,watertype,Location
STN002,1/15/22,-72.2,-117.69,34.66,0.93,517,33.62,2.26,0.02,0.27,4.52,43.4,0.42,CDW,Open_polynya
STN002,1/15/22,-72.2,-117.69,34.13,-1.73,200,31.52,2.16,0.04,0.08,6.47,48.7,NA,WW,Open_polynya
STN002,1/15/22,-72.2,-117.69,33.49,-0.61,20,9.22,0.87,0.08,0.41,9.35,64.8,NA,AASW,Open_polynya
STN004,1/16/22,-73.14,-113.95,34.58,0.59,555,33.86,2.27,0.03,0.03,4.56,42.2,0.48,CDW,Open_polynya
STN004,1/16/22,-73.14,-113.95,34.13,-1.8,300,31.88,2.15,0.03,0.12,6.58,42,NA,WW,Open_polynya
STN004,1/16/22,-73.14,-113.95,33.88,-0.42,30,16.96,1.42,0.07,0.65,8.63,52.9,NA,WW-CDW,Open_polynya
STN012,1/18/22,-73.8,-112.67,34.57,0.57,730,34.11,2.3,0.02,0.13,4.55,40.2,1.173,CDW,Open_polynya
STN012,1/18/22,-73.8,-112.67,34.12,-1.79,300,31.93,2.17,0.07,0.11,6.68,42,0.37,WW,Open_polynya
STN012,1/18/22,-73.8,-112.67,33.81,-0.6,30,18.3,1.5,0.07,0.43,8.62,48.3,0.107,AASW,Open_polynya
STN014,1/20/22,-74.23,-112.08,34.53,0.43,860,34.86,2.39,0.06,0.15,4.61,43.8,0.826,CDW,Dotson
STN014,1/20/22,-74.23,-112.08,34.52,0.42,700,34.09,2.37,0.06,0.14,4.63,49.6,0.914,CDW,Dotson
STN014,1/20/22,-74.23,-112.08,34.4,0.14,580,33.73,2.29,0,0.09,4.7,48.3,0.53,CDW,Dotson
STN014,1/20/22,-74.23,-112.08,34.37,0.04,460,33.67,2.27,0,0.03,4.74,49.2,0.574,WW-CDW,Dotson
STN014,1/20/22,-74.23,-112.08,34.05,-1.42,300,31.82,2.18,0.01,0.11,6.18,44.2,0.678,WW,Dotson
STN014,1/20/22,-74.23,-112.08,33.84,-1.13,40,26.63,1.87,0.06,0.16,7.52,45.5,0.141,AASW,Dotson
STN20,1/22/22,-74.15,-111.9,34.44,0.13,499,33.69,2.32,0.01,0.08,4.8,39.6,0.513,CDW,Eastern_CC
STN20,1/22/22,-74.15,-111.9,34.44,0.13,480,33.69,2.32,0.01,0.08,4.8,39.6,0.513,CDW,Eastern_CC
STN20,1/22/22,-74.15,-111.9,33.99,-1.52,175,30.89,2.12,0.06,0.23,6.42,38.6,0.406,WW,Eastern_CC
STN20,1/22/22,-74.15,-111.9,33.81,-1.19,25,26.6,1.86,0.04,0.18,7.55,77.6,0.164,AASW-WW,Eastern_CC
STN22,1/23/22,-74.1753,-113.34488,34.38,0.1,610,33.37,2.3,0.01,0.05,4.73,43.5,0.516,CDW,Dotson
STN22,1/23/22,-74.1753,-113.34488,34.31,-0.11,465,33.39,2.3,0,0.08,4.79,41.2,0.643,WW-CDW,Dotson
STN22,1/23/22,-74.1753,-113.34488,34.17,-0.48,325,33.34,2.29,0.01,0.12,4.91,42.3,0.573,WW-CDW,Dotson
STN22,1/23/22,-74.1753,-113.34488,34.09,-0.69,250,33.16,2.28,0,0.06,5,43.5,0.572,WW-CDW,Dotson
STN22,1/23/22,-74.1753,-113.34488,34,-0.94,150,33.08,2.29,0.01,0.08,5.1,39.1,0.617,WW-CDW,Dotson
STN22,1/23/22,-74.1753,-113.34488,33.88,-1.27,2,32.44,2.25,0.02,0.08,5.49,37.8,0.73,WW-CDW,Dotson
STN056a,1/26/22,-74.18,-113.34,34.15,-0.56,310,33.29,2.24,0.01,0.18,4.96,42.4,0.642,WW-CDW,Dotson
STN056a,1/26/22,-74.18,-113.34,33.96,-1.25,170,32.64,2.2,0.02,0.09,5.65,42.4,0.591,WW-CDW,Dotson
STN056a,1/26/22,-74.18,-113.34,33.93,-1.27,150,32.56,2.18,0.02,0.15,5.42,44.5,0.748,WW-CDW,Dotson
STN056a,1/26/22,-74.18,-113.34,33.88,-1.37,100,32.6,2.19,0.02,0.15,5.41,50.2,NA,WW-CDW,Dotson
STN068,1/29/22,-74.02906,-113.34464,34.11,-0.71,257,33.16,2.23,0.02,0.19,5.09,55.5,0.511,WW-CDW,Western_CC
STN068,1/29/22,-74.02906,-113.34464,34.05,-0.9,190,32.08,2.19,0.02,0.27,5.23,51.4,0.493,WW-CDW,Western_CC
STN068,1/29/22,-74.02906,-113.34464,33.9,-1.34,90,32.09,2.19,0.03,0.09,5.72,44.1,0.133,WW-CDW,Western_CC
STN068,1/29/22,-74.02906,-113.34464,33.79,-1.03,30,20.94,1.62,0.05,0.19,8.57,44.6,NA,AASW,Western_CC
STN078,1/31/22,-74.2288,-112.68502,34.54,0.48,1040,32.92,2.28,0.01,0.24,4.58,39.6,0.553,CDW,Dotson
STN078,1/31/22,-74.2288,-112.68502,34.54,0.48,1039,32.92,2.28,0.01,0.24,4.59,39.6,0.553,CDW,Dotson
STN078,1/31/22,-74.2288,-112.68502,34.28,-0.32,440,32.91,2.23,0.01,0.46,5,41.2,0.478,WW-CDW,Dotson
STN078,1/31/22,-74.2288,-112.68502,33.97,-1.5,180,30,2.09,0.06,0.41,6.34,47.4,0.359,WW,Dotson
STN078,1/31/22,-74.2288,-112.68502,33.83,-1.31,20,27.72,1.97,0.05,0.34,7.03,54.2,0.122,AASW-WW,Dotson
STN089,2/3/22,-74.39296,-110.08594,34.7,1.11,1271,38.6,2.7,0.01,0.48,4.31,43.8,0.399,CDW,Eastern_CC
STN089,2/3/22,-74.39296,-110.08594,34.34,-0.11,500,38.12,2.69,0.01,0.12,4.94,42.2,0.491,WW-CDW,Eastern_CC
STN089,2/3/22,-74.39296,-110.08594,34.1,-0.77,300,37.47,2.62,0.01,0.13,5.18,41.4,0.577,WW-CDW,Eastern_CC
STN089,2/3/22,-74.39296,-110.08594,34.02,-1.03,200,37.46,2.59,0.01,0.13,5.3,49.2,0.626,WW-CDW,Eastern_CC
STN089,2/3/22,-74.39296,-110.08594,33.77,-1.53,2,36.66,2.58,0.02,0.1,5.65,41.9,0.941,AASW-WW,Eastern_CC
STN106,2/5/22,-74.15912,-111.4394,34.04,-1.35,318,36.42,2.56,0.03,0.17,6.05,39.6,0.509,WW-CDW,Eastern_CC
STN106,2/5/22,-74.15912,-111.4394,33.98,-1.33,170,36.53,2.56,0.04,0.35,5.82,42.1,0.518,WW-CDW,Eastern_CC
STN106,2/5/22,-74.15912,-111.4394,33.82,-1.3,20,32.61,2.27,0.05,0.16,6.88,42.3,0.174,AASW-WW,Eastern_CC
STN115,2/7/22,-73.79998,-112.66742,34.58,0.58,730,37.39,2.74,0.02,0.19,4.58,50.7,0.98,CDW,Open_polynya
STN115,2/7/22,-73.79998,-112.66742,34.17,-1.13,300,35.58,2.61,0.02,0.22,5.96,42.9,NA,WW-CDW,Open_polynya
STN115,2/7/22,-73.79998,-112.66742,34.03,-1.43,180,35.12,2.6,0.07,0.34,6.21,59.8,NA,WW,Open_polynya
STN115,2/7/22,-73.79998,-112.66742,33.94,-1.32,125,34.67,2.55,0.05,0.52,5.98,46.3,NA,WW-CDW,Open_polynya
STN115,2/7/22,-73.79998,-112.66742,33.81,-0.99,35,22.98,1.92,0.06,0.59,8.27,47.6,NA,AASW,Open_polynya
STN132,2/11/22,-74.20042,-110.90034,34.09,-1.27,505,32.19,2.19,0.01,0.21,6.02,49.4,0.526,WW-CDW,Eastern_CC
STN132,2/11/22,-74.20042,-110.9004,34.06,-1.31,305,32.12,2.17,0.02,0.09,5.97,41.8,0.532,WW-CDW,Eastern_CC
STN132,2/11/22,-74.20042,-110.90046,34,-1.24,200,32.23,2.17,0.02,0.14,5.64,42.6,0.594,WW-CDW,Eastern_CC
STN132,2/11/22,-74.20042,-110.90052,33.91,-1.36,100,32.15,2.19,0.01,0.24,5.61,46.6,0.55,WW-CDW,Eastern_CC
STN132,2/11/22,-74.20042,-110.90058,33.82,-1.43,30,31.56,2.12,0.02,0.2,6.23,48.8,0.452,AASW-WW,Eastern_CC
STN146,2/13/22,-73.86234,-114.01636,34.1,-0.85,268,32.84,2.25,0.03,0.33,5.29,43.1,0.613,WW-CDW,Western_CC
STN146,2/13/22,-73.86234,-114.01636,34.1,-0.85,250,31.95,2.19,0.04,0.17,5.3,43.2,0.568,WW-CDW,Western_CC
STN146,2/13/22,-73.86234,-114.01636,34.02,-1.08,201,32.34,2.22,0.05,0.5,5.49,48.9,0.538,WW-CDW,Western_CC
STN146,2/13/22,-73.86234,-114.01636,33.94,-1.17,160,30.3,2.13,0.05,0.63,5.97,62.1,0.477,WW-CDW,Western_CC
STN146,2/13/22,-73.86234,-114.01636,33.77,-0.98,30,18.47,1.54,0.07,0.51,8.55,59.9,0.136,WW-CDW,Western_CC
STN153,2/15/22,-73.92156,-118.838,34.39,0,548,33.15,2.27,0.02,0.03,5,38.3,0.801,WW-CDW,Getz
STN153,2/15/22,-73.92156,-118.838,33.97,-1.37,160,31.63,2.17,0.02,0.13,5.8,38.3,0.378,WW-CDW,Getz
STN153,2/15/22,-73.92156,-118.838,33.76,-0.33,2,10.97,1.13,0.1,0.64,9.1,51.7,0.262,AASW,Getz
STN12.3,2/17/22,-73.80034,-112.66694,34.56,0.53,732,36.47,2.68,0.02,0.23,4.61,43.8,NA,CDW,Open_polynya
STN12.3,2/17/22,-73.80034,-112.66694,34.56,0.53,731,36.47,2.68,0.02,0.23,4.61,43.8,NA,CDW,Open_polynya
STN12.3,2/17/22,-73.80074,-112.66718,34.16,-1.14,300,35.33,2.58,0.03,0.29,5.85,46,NA,WW-CDW,Open_polynya
STN12.3,2/17/22,-73.80082,-112.66734,34.01,-1.45,165,34.08,2.52,0.07,0.67,6.19,39.7,NA,WW,Open_polynya
STN12.3,2/17/22,-73.80034,-112.66694,33.77,-0.86,15,17.73,1.6,0.07,0.73,8.71,51.2,NA,AASW,Open_polynya
STN151.2,2/19/22,-73.88074,-118.73942,34.51,0.42,673,33.47,2.26,0.01,0.26,4.75,43.6,0.53,CDW,Getz
STN151.2,2/19/22,-73.88074,-118.73942,34.31,-0.3,500,33.2,2.28,0.01,0.13,5.1,42.2,NA,WW-CDW,Getz
STN174,2/20/22,-73.73166,-116.85366,34.46,0.13,620,33.12,2.29,0.04,0.28,4.85,44.7,0.871,CDW,West_OP
STN174,2/20/22,-73.73226,-116.85366,34.38,-0.24,550,33.26,2.3,0.05,0.16,5.04,54,0.749,WW-CDW,West_OP
STN174,2/20/22,-73.73252,-116.85274,33.71,0.01,3,3.84,0.68,0.07,0.34,8.65,64.7,0.11,AASW,West_OP