Station,ART_NUMBER,Bottle,Date,Salinity,Sal11,Oxygen,PrDM,Depth,Temperature,C0mS/cm,T190C,C1mS/cm,Sbeox0ML/L,Sbeox1ML/L,FlECO-AFL,CStarTr0,Par,Latitude,Longitude,TimeJ,AltM,Spar
STN089,ART2283,17,Feb 03 2022,34.02,34.01,8.29,201.87,199.68,-1.03,27.53,-1.03,27.52,5.3,5.4,-0.01,98.63,0,-74.39,-110.09,34.27,99.87,207.41
STN089,ART2284,18,Feb 03 2022,34.01,34.01,8.29,201.9,199.71,-1.03,27.52,-1.03,27.52,5.29,5.41,-0.02,98.64,0,-74.39,-110.09,34.27,99.86,208.16
STN089,ART2285,19,Feb 03 2022,33.94,33.92,8.35,151.84,150.22,-1.28,27.24,-1.32,27.2,5.41,5.53,-0.02,98.79,0,-74.39,-110.09,34.27,77.98,230.65
STN089,ART2286,20,Feb 03 2022,33.93,33.92,8.36,151.87,150.24,-1.32,27.2,-1.32,27.19,5.46,5.58,-0.01,98.86,0,-74.39,-110.09,34.27,99.87,231.05
STN089,ART2287,21,Feb 03 2022,33.87,33.87,8.39,101.1,100.03,-1.45,27.03,-1.44,27.03,5.47,5.59,-0.02,99.03,0.23,-74.39,-110.09,34.27,14.21,232.99
STN089,ART2288,22,Feb 03 2022,33.77,33.77,8.41,2.26,2.24,-1.53,26.84,-1.53,26.84,5.65,5.35,0.08,98.92,36.47,-74.39,-110.09,34.27,14.24,224.25
STN089,ART2289,23,Feb 03 2022,33.77,33.77,8.41,2.26,2.24,-1.53,26.84,-1.52,26.85,5.63,5.34,0.08,98.89,36.82,-74.39,-110.09,34.27,14.24,224.25
STN089,ART2290,24,Feb 03 2022,33.77,33.77,8.41,2.26,2.24,-1.52,26.85,-1.5,26.87,5.66,5.34,0.07,98.92,36.31,-74.39,-110.09,34.27,14.24,224.29
STN106,ART2305,1,Feb 05 2022,34.04,34.04,8.36,321.35,317.78,-1.35,27.33,-1.35,27.33,6.05,6.22,0.03,98.42,0,-74.16,-111.44,36.43,3.93,546.49
STN106,ART2306,2,Feb 05 2022,34.04,34.04,8.36,321.31,317.74,-1.35,27.33,-1.35,27.33,6.04,6.22,0.04,98.46,0,-74.16,-111.44,36.43,4.05,547.14
STN106,ART2307,3,Feb 05 2022,34.04,34.04,8.36,304.79,301.41,-1.35,27.33,-1.35,27.33,6.05,6.22,0.02,98.44,0,-74.16,-111.44,36.44,21.44,562.43
STN106,ART2308,4,Feb 05 2022,34.04,34.04,8.36,304.81,301.44,-1.35,27.33,-1.35,27.33,6.05,6.22,0.05,98.38,0,-74.16,-111.44,36.44,21.29,562.58
STN106,ART2309,5,Feb 05 2022,34.04,34.04,8.36,259.95,257.1,-1.35,27.3,-1.35,27.3,6.04,6.21,0.04,98.34,0,-74.16,-111.44,36.44,14.21,587.61
STN106,ART2310,6,Feb 05 2022,34.04,34.03,8.36,260.01,257.16,-1.35,27.3,-1.35,27.3,6.04,6.21,0.09,98.33,0,-74.16,-111.44,36.44,14.21,588.94
STN106,ART2311,7,Feb 05 2022,34,34,8.36,202.22,200.03,-1.37,27.24,-1.37,27.24,5.97,6.14,0.08,98.27,0,-74.16,-111.44,36.44,14.22,601.58
STN106,ART2312,8,Feb 05 2022,34,34,8.36,202.22,200.03,-1.37,27.23,-1.37,27.23,5.97,6.14,0.13,98.23,0,-74.16,-111.44,36.44,14.21,600.85
STN106,ART2313,9,Feb 05 2022,33.98,33.98,8.36,171.66,169.81,-1.33,27.23,-1.33,27.23,5.82,5.97,0.04,98.4,0,-74.16,-111.44,36.44,14.22,605.75
STN106,ART2314,10,Feb 05 2022,33.97,33.97,8.36,171.71,169.86,-1.33,27.23,-1.33,27.23,5.77,5.95,0.5,98.36,0,-74.16,-111.44,36.44,14.13,608.34
STN106,ART2315,11,Feb 05 2022,33.9,33.9,8.38,141.53,140.02,-1.4,27.11,-1.4,27.11,5.84,6,0.5,97.92,0,-74.16,-111.44,36.44,14.19,622.08
STN106,ART2316,12,Feb 05 2022,33.9,33.9,8.38,121.23,119.94,-1.39,27.1,-1.39,27.1,5.83,5.99,0.53,97.79,0,-74.16,-111.44,36.44,14.22,629.6
STN106,ART2317,13,Feb 05 2022,33.87,33.87,8.37,101.37,100.3,-1.38,27.09,-1.38,27.09,6.09,6.25,1.67,95.49,0,-74.16,-111.44,36.44,14.19,634.82
STN106,ART2318,14,Feb 05 2022,33.87,33.87,8.37,101.4,100.32,-1.38,27.09,-1.38,27.09,6.05,6.23,1.65,95.77,0,-74.16,-111.44,36.45,14.24,635.72
STN106,ART2319,15,Feb 05 2022,33.87,33.87,8.38,101.33,100.26,-1.38,27.08,-1.38,27.08,5.93,6.1,1.09,96.46,0,-74.16,-111.44,36.45,14.23,651.73
STN106,ART2320,16,Feb 05 2022,33.85,33.85,8.37,80.91,80.05,-1.36,27.08,-1.36,27.08,6.23,6.41,3.16,94.49,0,-74.16,-111.44,36.45,14.24,666.41
STN106,ART2321,17,Feb 05 2022,33.85,33.85,8.37,80.92,80.07,-1.36,27.08,-1.36,27.08,6.23,6.41,3.31,94.28,0,-74.16,-111.44,36.45,14.24,668.78
STN106,ART2322,18,Feb 05 2022,33.85,33.84,8.37,60.4,59.76,-1.35,27.07,-1.35,27.07,6.29,6.47,3.9,93.35,0,-74.16,-111.44,36.45,14.22,671.87
STN106,ART2323,19,Feb 05 2022,33.84,33.84,8.37,60.4,59.76,-1.35,27.07,-1.34,27.08,6.36,6.58,4.09,93.33,0,-74.16,-111.44,36.45,14.25,671.98
STN106,ART2324,20,Feb 05 2022,33.83,33.83,8.36,39.84,39.43,-1.32,27.08,-1.32,27.08,6.61,6.8,5.07,90.98,0.05,-74.16,-111.44,36.45,14.17,677.31
STN106,ART2325,21,Feb 05 2022,33.82,33.82,8.36,20.14,19.93,-1.3,27.08,-1.3,27.08,6.88,7.07,6.67,88.71,1.57,-74.16,-111.44,36.45,14.22,687.27
STN106,ART2326,22,Feb 05 2022,33.82,33.82,8.36,20.18,19.97,-1.3,27.08,-1.3,27.08,6.97,7.19,7.36,88.12,1.54,-74.16,-111.44,36.45,14.24,686.41
STN106,ART2327,23,Feb 05 2022,33.79,33.79,8.36,1.98,1.96,-1.29,27.06,-1.29,27.06,7.23,6.81,7.56,85.8,64.41,-74.16,-111.44,36.45,35.36,693.57
STN106,ART2328,24,Feb 05 2022,33.79,33.79,8.36,1.97,1.95,-1.29,27.06,-1.29,27.06,7.24,6.81,8.95,86.8,64.14,-74.16,-111.44,36.45,47.55,693.79
STN115,ART2353,1,Feb 07 2022,34.58,34.57,7.91,738.85,729.92,0.58,29.54,0.58,29.54,4.58,4.68,0.02,98.37,0,-73.8,-112.67,38.88,3.9,567.87
STN115,ART2354,2,Feb 07 2022,34.58,34.57,7.91,738.9,729.97,0.58,29.54,0.58,29.54,4.58,4.68,0.03,98.43,0,-73.8,-112.67,38.88,3.84,566.28
STN115,ART2355,3,Feb 07 2022,34.49,34.48,7.98,657.77,649.94,0.29,29.2,0.3,29.2,4.73,4.85,0.01,98.73,0,-73.8,-112.67,38.88,86.15,617.51
STN115,ART2356,4,Feb 07 2022,34.49,34.49,7.98,657.8,649.97,0.29,29.2,0.3,29.2,4.74,4.85,0.01,98.73,0,-73.8,-112.67,38.88,86.08,617.94
STN115,ART2357,5,Feb 07 2022,34.39,34.39,8.02,455.1,449.9,0.11,28.88,0.1,28.87,4.73,4.85,0.01,98.58,0,-73.8,-112.67,38.89,99.82,754.15
STN115,ART2358,6,Feb 07 2022,34.17,34.16,8.3,303.31,299.96,-1.13,27.6,-1.13,27.6,5.96,6.1,0.08,98.52,0,-73.8,-112.67,38.89,99.83,811.65
STN115,ART2359,7,Feb 07 2022,34.17,34.16,8.3,303.33,299.97,-1.14,27.59,-1.13,27.6,5.96,6.11,0.06,98.64,0,-73.8,-112.67,38.89,99.83,813.95
STN115,ART2360,8,Feb 07 2022,34.11,34.11,8.34,252.59,249.82,-1.29,27.4,-1.28,27.41,6.11,6.27,0.23,98.48,0,-73.8,-112.67,38.89,91.72,772.5
STN115,ART2361,9,Feb 07 2022,34.03,34.03,8.38,181.96,180,-1.43,27.19,-1.43,27.19,6.21,6.38,1.77,96.59,0,-73.8,-112.67,38.89,89.41,726.88
STN115,ART2362,10,Feb 07 2022,34.03,34.03,8.38,181.98,180.02,-1.43,27.2,-1.43,27.19,6.22,6.37,1.1,96.53,0,-73.8,-112.67,38.89,96.2,728.03
STN115,ART2363,11,Feb 07 2022,34.02,34.02,8.38,182.02,180.06,-1.43,27.19,-1.43,27.19,6.21,6.37,0.61,96.95,0,-73.8,-112.67,38.89,99.84,728.07
STN115,ART2364,12,Feb 07 2022,33.94,33.94,8.36,125.88,124.55,-1.32,27.2,-1.31,27.2,5.98,6.16,2.62,94.82,0,-73.8,-112.67,38.89,99.8,930.12
STN115,ART2365,13,Feb 07 2022,33.94,33.94,8.36,125.9,124.56,-1.32,27.2,-1.32,27.2,5.92,6.07,3.35,91.65,0,-73.8,-112.67,38.89,99.83,929.61
STN115,ART2366,14,Feb 07 2022,33.94,33.94,8.36,125.92,124.58,-1.32,27.2,-1.31,27.2,5.91,6.06,3.94,94.27,0,-73.8,-112.67,38.89,99.78,929.33
STN115,ART2367,15,Feb 07 2022,33.91,33.9,8.37,101.21,100.14,-1.37,27.12,-1.38,27.11,5.95,6.07,4.23,93.62,0,-73.8,-112.67,38.9,99.66,930.8
STN115,ART2368,16,Feb 07 2022,33.91,33.9,8.37,101.18,100.11,-1.37,27.12,-1.38,27.11,5.95,6.06,3.36,93.85,0,-73.8,-112.67,38.9,99.79,929.61
STN115,ART2369,17,Feb 07 2022,33.86,33.86,8.34,70.5,69.76,-1.25,27.18,-1.23,27.18,6.73,7.01,11.61,82.09,0,-73.8,-112.67,38.9,99.41,879.93
STN115,ART2370,18,Feb 07 2022,33.86,33.85,8.34,70.53,69.79,-1.23,27.18,-1.23,27.19,6.79,7.01,11.4,82.1,0,-73.8,-112.67,38.9,96.36,878.93
STN115,ART2371,19,Feb 07 2022,33.82,33.82,8.31,50.68,50.15,-1.09,27.26,-1.09,27.26,7.84,8,17.31,77.89,0,-73.8,-112.67,38.9,99.71,838.34
STN115,ART2372,20,Feb 07 2022,33.82,33.82,8.31,50.7,50.17,-1.09,27.26,-1.09,27.26,7.87,8.05,17.17,77.92,0,-73.8,-112.67,38.9,99.77,836.47
STN115,ART2373,21,Feb 07 2022,33.81,33.81,8.29,35.31,34.94,-0.99,27.33,-0.92,27.39,8.27,8.47,19.69,75.58,0.01,-73.8,-112.67,38.9,99.91,794.31
STN115,ART2374,22,Feb 07 2022,33.81,33.8,8.26,35.32,34.95,-0.86,27.44,-0.88,27.42,8.27,8.58,19.21,76.91,0.01,-73.8,-112.67,38.9,88.32,793.15
STN115,ART2375,23,Feb 07 2022,33.8,33.8,8.21,2.04,2.02,-0.64,27.6,-0.64,27.6,8.91,8.37,19.27,75.29,305.14,-73.8,-112.67,38.9,92.09,761.49
STN115,ART2376,24,Feb 07 2022,33.8,33.8,8.21,2.12,2.09,-0.64,27.6,-0.64,27.6,8.91,8.36,19.68,76.08,291.14,-73.8,-112.67,38.9,98.66,761.52
STN132,ART2389,1,Feb 11 2022,34.09,34.09,8.34,511.36,505.44,-1.27,27.52,-1.27,27.52,6.02,6.2,-0.02,97.77,0,-74.2,-110.9,42.54,6.53,77.03
STN132,ART2390,2,Feb 11 2022,34.09,34.09,8.34,511.33,505.42,-1.27,27.52,-1.27,27.52,6.03,6.2,-0.02,97.75,0,-74.2,-110.9,42.54,6.5,77.82
STN132,ART2391,3,Feb 11 2022,34.09,34.09,8.34,430.13,425.23,-1.26,27.49,-1.26,27.49,5.98,6.17,-0.01,97.75,0,-74.2,-110.9,42.55,89.44,81.53
STN132,ART2392,4,Feb 11 2022,34.09,34.09,8.34,430.08,425.19,-1.26,27.49,-1.26,27.49,6.01,6.17,-0.01,97.77,0,-74.2,-110.9,42.55,89.49,81.6
STN132,ART2393,5,Feb 11 2022,34.06,34.06,8.35,308.05,304.64,-1.31,27.37,-1.31,27.37,5.97,6.15,-0.01,97.69,0,-74.2,-110.9,42.55,99.9,82.57
STN132,ART2394,6,Feb 11 2022,34.06,34.05,8.35,308.09,304.67,-1.31,27.37,-1.31,27.37,5.98,6.14,-0.01,97.73,0,-74.2,-110.9,42.55,97.5,82.5
STN132,ART2395,7,Feb 11 2022,34.01,34.01,8.34,222.46,220.04,-1.26,27.34,-1.26,27.34,5.73,5.9,-0.01,97.7,0,-74.2,-110.9,42.55,99.9,90.52
STN132,ART2396,8,Feb 11 2022,34.01,34,8.34,222.42,220,-1.27,27.33,-1.27,27.33,5.74,5.91,0.01,97.7,0,-74.2,-110.9,42.55,93.76,90.77
STN132,ART2397,9,Feb 11 2022,34,34,8.34,202.39,200.2,-1.24,27.34,-1.24,27.34,5.64,5.83,0,97.6,0,-74.2,-110.9,42.55,99.9,95.56
STN132,ART2398,10,Feb 11 2022,34,34,8.33,202.4,200.2,-1.23,27.35,-1.23,27.35,5.66,5.81,0,97.61,0,-74.2,-110.9,42.55,99.1,96.06
STN132,ART2399,11,Feb 11 2022,33.98,33.98,8.33,171.98,170.13,-1.2,27.35,-1.2,27.35,5.5,5.67,0.01,97.5,0,-74.2,-110.9,42.55,99.9,102.18
STN132,ART2400,12,Feb 11 2022,33.97,33.97,8.33,171.97,170.12,-1.22,27.32,-1.22,27.32,5.51,5.66,0.02,97.49,0,-74.2,-110.9,42.55,99.89,102.61
STN132,ART2401,13,Feb 11 2022,33.96,33.96,8.35,141.26,139.75,-1.28,27.25,-1.27,27.25,5.57,5.74,0,97.65,0,-74.2,-110.9,42.55,99.9,107.54
STN132,ART2402,14,Feb 11 2022,33.95,33.95,8.35,141.25,139.74,-1.31,27.22,-1.3,27.23,5.59,5.74,0.01,97.6,0,-74.2,-110.9,42.55,99.9,107.94
STN132,ART2403,15,Feb 11 2022,33.92,33.92,8.37,121.46,120.17,-1.37,27.14,-1.37,27.14,5.68,5.84,0.11,97.61,0,-74.2,-110.9,42.55,97.35,105.99
STN132,ART2404,16,Feb 11 2022,33.91,33.91,8.37,101.05,99.98,-1.36,27.13,-1.36,27.13,5.61,5.79,0.22,97.26,0.04,-74.2,-110.9,42.55,99.89,104.94
STN132,ART2405,17,Feb 11 2022,33.9,33.89,8.37,101.09,100.02,-1.36,27.12,-1.36,27.12,5.63,5.81,0.27,97.35,0.04,-74.2,-110.9,42.55,99.89,106.53
STN132,ART2406,18,Feb 11 2022,33.89,33.89,8.37,101.06,99.99,-1.37,27.11,-1.36,27.11,5.63,5.8,0.36,97.11,0.04,-74.2,-110.9,42.56,99.89,107.54
STN132,ART2407,19,Feb 11 2022,33.83,33.83,8.39,60.62,59.98,-1.42,27,-1.42,27.01,5.94,6.11,0.86,96.39,0.71,-74.2,-110.9,42.56,99.89,113.51
STN132,ART2408,20,Feb 11 2022,33.83,33.83,8.39,60.65,60.01,-1.42,27,-1.42,27,5.96,6.15,0.81,96.39,0.71,-74.2,-110.9,42.56,99.89,113.69
STN132,ART2409,21,Feb 11 2022,33.82,33.82,8.39,30.54,30.22,-1.43,26.98,-1.42,26.98,6.23,6.43,1.19,95.73,4.74,-74.2,-110.9,42.56,99.88,117
STN132,ART2410,22,Feb 11 2022,33.82,33.82,8.39,30.55,30.23,-1.43,26.98,-1.42,26.98,6.23,6.43,1.11,95.78,4.65,-74.2,-110.9,42.56,98.9,118.11
STN132,ART2411,23,Feb 11 2022,33.82,33.82,8.38,2.92,2.89,-1.41,26.98,-1.42,26.97,6.24,5.95,1.13,95.86,50.14,-74.2,-110.9,42.56,20.72,120.42
STN132,ART2412,24,Feb 11 2022,33.82,33.82,8.38,3,2.97,-1.4,26.99,-1.41,26.98,6.24,5.95,1.08,95.82,50.72,-74.2,-110.9,42.56,99.88,120.78
STN146,ART2425,1,Feb 13 2022,34.1,34.1,8.24,271.45,268.47,-0.85,27.78,-0.84,27.78,5.29,5.45,0.53,95.62,0,-73.86,-114.02,44.5,6.73,730.7
STN146,ART2426,2,Feb 13 2022,34.1,34.1,8.24,270.96,267.99,-0.84,27.78,-0.84,27.78,5.28,5.45,0.58,95.72,0,-73.86,-114.02,44.5,7.17,729.97
STN146,ART2427,3,Feb 13 2022,34.1,34.1,8.24,252.83,250.06,-0.85,27.76,-0.85,27.76,5.3,5.46,0.33,95.89,0,-73.86,-114.02,44.5,25.9,730.16
STN146,ART2428,4,Feb 13 2022,34.1,34.1,8.25,252.84,250.08,-0.86,27.75,-0.86,27.75,5.29,5.46,0.45,95.61,0,-73.86,-114.02,44.5,25.77,730.73
STN146,ART2429,5,Feb 13 2022,34.07,34.07,8.27,232.6,230.06,-0.96,27.64,-0.95,27.65,5.41,5.58,1.19,95.29,0,-73.86,-114.02,44.5,46.54,737.78
STN146,ART2430,6,Feb 13 2022,34.07,34.07,8.27,232.57,230.04,-0.96,27.64,-0.97,27.63,5.38,5.55,0.87,95.68,0,-73.86,-114.02,44.5,46.48,742.17
STN146,ART2431,7,Feb 13 2022,34.02,34.02,8.3,202.72,200.52,-1.08,27.49,-1.08,27.49,5.49,5.66,2.37,94.28,0,-73.86,-114.02,44.5,78.51,751.28
STN146,ART2432,8,Feb 13 2022,34.02,34.02,8.3,202.69,200.5,-1.09,27.49,-1.08,27.49,5.51,5.67,1.99,94.09,0,-73.86,-114.02,44.5,78.12,751.89
STN146,ART2433,9,Feb 13 2022,34.02,34.02,8.3,202.66,200.47,-1.09,27.48,-1.08,27.48,5.52,5.69,1.48,93.93,0,-73.86,-114.02,44.5,77.68,751.64
STN146,ART2434,10,Feb 13 2022,34.01,34.01,8.3,187.47,185.45,-1.09,27.47,-1.09,27.47,5.53,5.7,2.05,93.33,0,-73.86,-114.02,44.5,92.51,767.07
STN146,ART2435,11,Feb 13 2022,34.02,34.01,8.3,187.52,185.5,-1.09,27.47,-1.09,27.47,5.53,5.71,3.52,91.55,0,-73.86,-114.02,44.5,91.98,767.64
STN146,ART2436,12,Feb 13 2022,33.94,33.94,8.32,161.64,159.91,-1.17,27.34,-1.17,27.34,5.97,6.15,6.09,88.89,0,-73.86,-114.02,44.5,99.65,778.54
STN146,ART2437,13,Feb 13 2022,33.94,33.94,8.32,161.62,159.89,-1.17,27.34,-1.17,27.34,6.01,6.2,5.74,88.19,0,-73.86,-114.02,44.5,97.72,781.93
STN146,ART2438,14,Feb 13 2022,33.94,33.94,8.32,161.66,159.92,-1.17,27.33,-1.17,27.33,6.01,6.2,6.41,87.92,0,-73.86,-114.02,44.5,99.52,781.32
STN146,ART2439,15,Feb 13 2022,33.91,33.91,8.33,141.4,139.89,-1.21,27.27,-1.21,27.27,6.47,6.62,13.05,84.42,0,-73.86,-114.02,44.51,99.62,791.57
STN146,ART2440,16,Feb 13 2022,33.78,33.78,8.29,125.94,124.6,-0.98,27.37,-0.97,27.37,8.19,8.54,17.22,81.18,0,-73.86,-114.02,44.51,91.95,785.96
STN146,ART2441,17,Feb 13 2022,33.77,33.77,8.29,101.14,100.07,-0.96,27.36,-0.96,27.36,8.43,8.72,17.98,78.23,0,-73.86,-114.02,44.51,99.58,795.78
STN146,ART2442,18,Feb 13 2022,33.77,33.77,8.29,101.2,100.13,-0.96,27.36,-0.96,27.36,8.43,8.72,13.13,82.29,0,-73.86,-114.02,44.51,97.39,797.54
STN146,ART2443,19,Feb 13 2022,33.77,33.77,8.29,60.35,59.72,-0.97,27.33,-0.97,27.33,8.49,8.78,18.03,80.45,0,-73.86,-114.02,44.51,99.82,814.52
STN146,ART2444,20,Feb 13 2022,33.77,33.77,8.29,60.36,59.73,-0.97,27.33,-0.97,27.33,8.5,8.79,15.45,80.11,0,-73.86,-114.02,44.51,99.84,820.89
STN146,ART2445,21,Feb 13 2022,33.77,33.76,8.29,30.43,30.12,-0.98,27.31,-0.98,27.31,8.55,8.85,17.98,80.14,0,-73.86,-114.02,44.51,99.61,826.36
STN146,ART2446,22,Feb 13 2022,33.76,33.76,8.29,30.38,30.07,-0.98,27.31,-0.98,27.31,8.58,8.88,19.16,80.69,0.01,-73.86,-114.02,44.51,99.73,831.22
STN146,ART2447,23,Feb 13 2022,33.76,33.76,8.28,2.28,2.26,-0.93,27.34,-0.93,27.34,8.57,8.1,18.31,79.59,65.52,-73.86,-114.02,44.51,77.71,828.66
STN146,ART2448,24,Feb 13 2022,33.76,33.76,8.27,2.29,2.26,-0.9,27.36,-0.91,27.35,8.59,8.11,14.27,79.76,66.89,-73.86,-114.02,44.51,99.76,831.15
STN153,ART2475,1,Feb 15 2022,34.39,34.39,8.05,554.75,548.28,0,28.83,0,28.83,5,5.13,-0.01,97.11,0,-73.92,-118.84,46.12,3.81,149.88
STN153,ART2476,2,Feb 15 2022,34.39,34.39,8.04,554.7,548.23,0,28.83,0,28.83,4.96,5.13,-0.01,97.1,0,-73.92,-118.84,46.12,3.5,149.8
STN153,ART2477,3,Feb 15 2022,34.32,34.32,8.1,505.67,499.83,-0.25,28.54,-0.25,28.54,5.11,5.26,0,97.05,0,-73.92,-118.84,46.12,53.97,146.72
STN153,ART2478,4,Feb 15 2022,34.32,34.32,8.1,505.68,499.84,-0.26,28.54,-0.25,28.54,5.08,5.26,-0.01,97.05,0,-73.92,-118.84,46.12,54.7,146.82
STN153,ART2479,5,Feb 15 2022,34.21,34.21,8.22,424.74,419.92,-0.76,27.99,-0.77,27.99,5.4,5.6,0,97.03,0,-73.92,-118.84,46.12,96.09,143.33
STN153,ART2480,6,Feb 15 2022,34.21,34.2,8.22,424.7,419.88,-0.77,27.99,-0.77,27.99,5.42,5.6,-0.01,97.04,0,-73.92,-118.84,46.12,99.87,143.58
STN153,ART2481,7,Feb 15 2022,34.14,34.14,8.31,384.48,380.16,-1.18,27.58,-1.17,27.58,5.75,5.91,-0.01,97.14,0,-73.92,-118.84,46.12,98.86,140.31
STN153,ART2482,8,Feb 15 2022,34.14,34.14,8.31,384.42,380.1,-1.18,27.57,-1.18,27.57,5.79,5.94,-0.01,97.13,0,-73.92,-118.84,46.12,99.88,140.63
STN153,ART2483,9,Feb 15 2022,34.06,34.06,8.43,303.19,299.83,-1.69,27.06,-1.69,27.06,6.3,6.5,0.24,96.71,0,-73.92,-118.84,46.12,99.87,136.24
STN153,ART2484,10,Feb 15 2022,34.06,34.06,8.43,303.14,299.79,-1.69,27.06,-1.69,27.06,6.28,6.5,0.09,96.76,0,-73.92,-118.84,46.12,99.87,136.28
STN153,ART2485,11,Feb 15 2022,34.03,34.03,8.44,242.68,240.03,-1.7,27,-1.7,27,6.28,6.49,0.33,96.59,0,-73.92,-118.84,46.13,99.87,134.48
STN153,ART2486,12,Feb 15 2022,34.03,34.03,8.44,242.65,240,-1.7,27,-1.7,27,6.29,6.49,0.18,96.45,0,-73.92,-118.84,46.13,99.87,134.73
STN153,ART2487,13,Feb 15 2022,34.01,34.01,8.39,217.17,214.81,-1.5,27.15,-1.5,27.14,5.88,6.07,0,96.89,0,-73.92,-118.84,46.13,99.87,134.38
STN153,ART2488,14,Feb 15 2022,34.01,34.01,8.39,217.14,214.78,-1.5,27.15,-1.5,27.15,5.87,6.07,0.12,96.94,0,-73.92,-118.84,46.13,99.88,134.45
STN153,ART2489,15,Feb 15 2022,34.01,34.01,8.37,202.05,199.86,-1.41,27.21,-1.4,27.22,5.72,5.92,0.04,96.95,0,-73.92,-118.84,46.13,99.88,134.7
STN153,ART2490,16,Feb 15 2022,34.01,34.01,8.37,202.09,199.91,-1.42,27.2,-1.42,27.2,5.72,5.92,-0.01,97,0,-73.92,-118.84,46.13,99.88,134.7
STN153,ART2491,17,Feb 15 2022,33.97,33.97,8.37,161.75,160.02,-1.37,27.19,-1.38,27.19,5.8,5.99,0.31,96.58,0,-73.92,-118.84,46.13,99.88,135.7
STN153,ART2492,18,Feb 15 2022,33.97,33.97,8.37,161.73,160,-1.37,27.19,-1.38,27.19,5.78,5.95,0.23,96.61,0,-73.92,-118.84,46.13,88.26,135.7
STN153,ART2493,19,Feb 15 2022,33.93,33.93,8.34,121.5,120.21,-1.26,27.24,-1.26,27.24,6.31,6.54,3.54,95.02,0,-73.92,-118.84,46.13,99.84,135.96
